teplota,rychlost_vitr,max_naraz_vitr,vlhkost,uhrn_srazky,tlak,mesic,y
1.6,0.1,5.0,90,0.0,1026.689847,2,0
1.0,0.0,2.4,98,0.0,1019.323986,2,0
8.6,1.7,10.7,74,0.0,1017.264861,2,0
5.5,4.5,13.7,68,0.0,1022.830337,2,0
4.9,3.0,14.1,70,0.2,1019.896125,2,1
3.8,1.5,9.4,85,1.2,1022.168552,2,1
4.6,4.3,18.0,65,0.0,1024.410799,2,0
8.6,3.1,14.1,56,0.0,1023.237698,2,0
10.1,6.9,26.2,77,1.7,1012.780431,2,1
4.5,2.1,19.6,73,1.9,1017.710792,2,1
7.4,2.4,11.4,83,0.3,1001.867575,2,1
4.2,2.7,16.5,67,0.3,998.7783217,2,1
3.5,3.6,10.2,65,0.3,1004.264019,2,1
2.3,2.7,16.8,71,6.2,1015.018427,2,1
2.1,1.4,5.8,97,1.9,1007.122024,2,1
3.6,1.7,11.1,82,1.4,1002.689045,3,1
6.0,1.4,8.7,67,0.0,996.9581497,3,0
4.7,2.1,13.9,78,0.6,1001.796145,3,1
2.9,1.6,10.0,80,0.0,1012.901219,3,0
5.4,2.4,9.4,66,1.5,1003.931158,3,1
5.8,2.6,10.2,85,1.1,996.2525837,3,1
4.4,3.2,14.2,73,0.0,1013.812594,3,0
3.5,1.4,8.9,80,0.0,1018.992733,3,0
4.6,0.4,3.5,86,0.0,1014.128983,3,0
5.4,3.2,11.6,89,6.1,1011.652583,3,1
9.3,1.6,13.0,94,4.2,1011.054847,3,1
9.1,3.7,18.7,77,1.4,1009.349819,3,1
6.3,3.7,18.6,61,0.0,1015.199639,3,0
3.4,0.5,8.4,62,0.0,1023.676128,3,0
3.8,1.4,8.6,55,0.0,1025.316465,3,0
4.0,0.2,5.0,65,0.0,1024.236931,3,0
8.2,0.3,6.9,73,0.0,1027.933785,3,0
9.1,0.1,5.1,76,0.0,1025.153608,3,0
11.3,0.7,4.9,69,0.0,1022.47676,3,0
7.5,1.3,8.1,81,2.2,1020.623313,3,1
2.4,2.2,12.1,67,0.0,1026.118302,3,0
-0.8,2.9,10.1,51,0.0,1036.353687,3,0
-0.1,1.6,9.5,44,0.0,1039.526583,3,0
1.0,1.6,7.4,44,0.0,1037.29567,3,0
3.0,2.7,10.7,36,0.0,1030.848656,3,0
4.6,2.0,11.4,50,0.0,1025.649434,3,0
8.5,1.0,8.7,56,0.0,1020.346285,3,0
9.5,1.8,9.5,56,0.0,1016.269507,3,0
3.3,2.8,14.0,71,0.0,1020.275899,3,0
2.0,0.5,7.9,45,0.0,951.4510802,3,0
-0.6,0.7,7.5,65,0.0,1028.626142,3,0
2.1,0.6,6.4,58,0.0,1023.289875,4,0
6.5,1.6,7.7,50,0.0,1012.567997,4,0
6.3,1.8,8.9,63,0.0,1015.261382,4,0
6.9,0.5,6.9,67,0.0,1024.057868,4,0
9.8,2.1,9.5,53,0.0,1026.829,4,0
10.9,0.8,7.8,53,0.0,1023.425691,4,0
12.1,0.3,5.0,55,0.0,1027.297906,4,0
11.4,0.7,6.9,54,0.0,1023.560983,4,0
13.5,2.1,9.3,51,0.0,1019.910226,4,0
11.5,0.5,6.2,64,0.0,1020.715559,4,0
10.9,0.8,5.5,54,0.0,1021.177969,4,0
13.0,0.8,5.6,57,0.0,1013.857672,4,0
8.6,3.2,14.0,46,0.0,1011.661354,4,0
4.7,2.1,10.9,50,0.0,1020.482413,4,0
9.8,1.1,7.9,48,0.0,1021.116052,4,0
12.9,0.7,5.4,60,0.0,1014.430628,4,0
13.4,0.7,6.6,60,0.0,1012.717021,4,0
14.3,1.2,6.1,58,5.6,1012.435823,4,1
11.1,3.0,10.7,56,0.0,1015.199653,4,0
10.5,2.7,10.0,40,0.0,1020.637045,4,0
11.9,1.7,10.9,38,0.0,1019.799715,4,0
13.0,2.6,10.5,38,0.0,1019.713684,4,0
12.0,1.2,6.9,51,0.0,1016.692105,4,0
14.5,1.5,10.1,54,0.0,1003.824632,4,0
8.4,2.3,13.7,61,0.0,1004.909517,4,0
9.8,0.8,6.4,64,0.0,1004.762722,4,0
14.4,1.1,8.4,55,0.0,1006.15324,4,0
16.6,0.9,8.9,60,0.0,1001.39391,4,0
13.6,1.9,9.7,71,0.0,1001.892997,4,0
13.5,0.9,7.0,78,0.0,1002.990354,4,0
2.1,3.6,12.5,61,0.3,1000.786348,5,1
6.5,1.8,16.5,65,1.1,1004.80534,5,1
6.3,1.5,9.0,63,0.0,1013.697354,5,0
6.9,0.5,11.0,69,0.7,1012.826319,5,1
9.8,2.0,14.1,57,0.0,1015.654819,5,0
10.9,2.8,10.6,51,0.0,1019.276941,5,0
12.1,2.2,11.6,45,0.0,1019.037479,5,0
11.4,0.9,8.0,53,0.0,1014.395615,5,0
13.5,0.6,5.9,46,0.0,1009.136618,5,0
11.5,0.8,6.5,77,0.2,1002.224338,5,1
10.9,1.5,12.8,88,5.7,1001.879768,5,1
13.0,2.1,7.7,61,0.0,1016.220643,5,0
8.6,1.2,6.0,68,0.0,1010.524842,5,0
4.7,0.7,7.0,64,0.2,1010.661087,5,1
9.8,1.1,8.8,59,0.0,1002.892194,5,0
12.9,1.1,6.3,51,0.0,1018.294781,5,0
13.4,1.5,9.2,53,0.0,1018.213729,5,0
14.3,0.7,7.8,52,0.0,1017.699462,5,0
11.1,1.8,10.4,53,0.0,1014.824578,5,0
10.5,1.2,7.4,76,0.0,1017.082455,5,0
11.9,1.5,7.5,48,0.0,1018.805052,5,0
13.0,1.1,8.2,65,8.8,1018.487583,5,1
12.0,3.0,10.8,77,7.0,1016.629753,5,1
